number of cases,location_CN,location_ENG
1,七台河市,"('Qitaihe', 'Heilongjiang')"
1,三明市,"('Sanming', 'Fujian')"
1,三门峡市,"('Sanmenxia', 'Henan')"
1,东营市,"('Dongying', 'Shandong')"
1,临汾市,"('Linfen', 'Shanxi')"
1,乌兰察布市,"('Ulanqab', 'Inner Mongolia')"
1,伊春市,"('Yichun', 'Heilongjiang')"
1,儋州市,"('Danzhou', 'Hainan')"
1,六盘水市,"('Liupanshui', 'Guizhou')"
1,内江市,"('Neijiang', 'Sichuan')"
1,凉山彝族自治州,"('Liangshan', 'Sichuan')"
1,包头市,"('Baotou', 'Inner Mongolia')"
1,北海市,"('Beihai', 'Guangxi')"
1,吉林市,"('Jilin', 'Jilin')"
1,呼伦贝尔市,"('Hulunbuir', 'Inner Mongolia')"
1,咸宁市,"('Xianning', 'Hubei')"
1,喀什地区,"('Kashgar', 'Xinjiang')"
1,四平市,"('Siping', 'Jilin')"
1,固原市,"('Guyuan', 'Ningxia')"
1,大兴安岭地区,"('Daxing', 'Heilongjiang')"
1,大同市,"('Datong', 'Shanxi')"
1,天水市,"('Tianshui', 'Gansu')"
1,安康市,"('Ankang', 'Shaanxi')"
1,安顺市,"('Anshun', 'Guizhou')"
1,巴彦淖尔市,"('Bayannur', 'Inner Mongolia')"
1,广元市,"('Guangyuan', 'Sichuan')"
1,延安市,"(""Yan'an"", 'Shaanxi')"
1,延边朝鲜族自治州,"('Yanbian', 'Jilin')"
1,开封市,"('Kaifeng', 'Henan')"
1,张家界市,"('Zhangjiajie', 'Hunan')"
1,张掖市,"('Zhangye', 'Gansu')"
1,德宏傣族景颇族自治州,"('Dehong', 'Yunnan')"
1,怀化市,"('Huaihua', 'Hunan')"
1,怒江傈僳族自治州,"('Nujiang', 'Yunnan')"
1,恩施土家族苗族自治州,"('Enshi', 'Hubei')"
1,承德市,"('Chengde', 'Hebei')"
1,揭阳市,"('Jieyang', 'Guangdong')"
1,文山壮族苗族自治州,"('Wenshan', 'Yunnan')"
1,昌吉回族自治州,"('Changji', 'Xinjiang')"
1,晋中市,"('Jinzhong', 'Shanxi')"
1,普洱市,"(""Pu'er"", 'Yunnan')"
1,景德镇市,"('Jingdezhen', 'Jiangxi')"
1,朝阳市,"('Chaoyang', 'Liaoning')"
1,楚雄彝族自治州,"('Chuxiong', 'Yunnan')"
1,武威市,"('Wuwei', 'Gansu')"
1,湖州市,"('Huzhou', 'Zhejiang')"
1,湘潭市,"('Xiangtan', 'Hunan')"
1,湘西土家族苗族自治州,"('Xiangxi', 'Hunan')"
1,滨州市,"('Binzhou', 'Shandong')"
1,潮州市,"('Chaozhou', 'Guangdong')"
1,濮阳市,"('Puyang', 'Henan')"
1,玉树藏族自治州,"('Yushu', 'Qinghai')"
1,白城市,"('Baicheng', 'Jilin')"
1,盘锦市,"('Panjin', 'Liaoning')"
1,荆州市,"('Jingzhou', 'Hubei')"
1,荆门市,"('Jingmen', 'Hubei')"
1,西宁市,"('Xining', 'Qinghai')"
1,贵港市,"('Guigang', 'Guangxi')"
1,贺州市,"('Hezhou', 'Guangxi')"
1,辽源市,"('Liaoyuan', 'Jilin')"
1,鄂州市,"('Ezhou', 'Hubei')"
1,铜川市,"('Tongchuan', 'Shaanxi')"
1,防城港市,"('Fangchenggang', 'Guangxi')"
1,阳江市,"('Yangjiang', 'Guangdong')"
1,鹤岗市,"('Hegang', 'Heilongjiang')"
1,鹰潭市,"('Yingtan', 'Jiangxi')"
1,黑河市,"('Heihe', 'Heilongjiang')"
2,丽水市,"('Lishui', 'Zhejiang')"
2,吕梁市,"('Lüliang', 'Shanxi')"
2,商丘市,"('Shangqiu', 'Henan')"
2,商洛市,"('Shangluo', 'Shaanxi')"
2,威海市,"('Weihai', 'Shandong')"
2,孝感市,"('Xiaogan', 'Hubei')"
2,定西市,"('Dingxi', 'Gansu')"
2,宜春市,"('Yichun', 'Jiangxi')"
2,常德市,"('Changde', 'Hunan')"
2,廊坊市,"('Langfang', 'Hebei')"
2,惠州市,"('Huizhou', 'Guangdong')"
2,抚州市,"('Fuzhou', 'Jiangxi')"
2,抚顺市,"('Fushun', 'Liaoning')"
2,攀枝花市,"('Panzhihua', 'Sichuan')"
2,新乡市,"('Xinxiang', 'Henan')"
2,新余市,"('Xinyu', 'Jiangxi')"
2,晋城市,"('Jincheng', 'Shanxi')"
2,来宾市,"('Laibin', 'Guangxi')"
2,枣庄市,"('Zaozhuang', 'Shandong')"
2,株洲市,"('Zhuzhou', 'Hunan')"
2,毕节市,"('Bijie', 'Guizhou')"
2,池州市,"('Chizhou', 'Anhui')"
2,沧州市,"('Cangzhou', 'Hebei')"
2,河源市,"('Heyuan', 'Guangdong')"
2,海口市,"('Haikou', 'Hainan')"
2,淮北市,"('Huaibei', 'Anhui')"
2,湛江市,"('Zhanjiang', 'Guangdong')"
2,烟台市,"('Yantai', 'Shandong')"
2,珠海市,"('Zhuhai', 'Guangdong')"
2,绥化市,"('Suihua', 'Heilongjiang')"
2,聊城市,"('Liaocheng', 'Shandong')"
2,辽阳市,"('Liaoyang', 'Liaoning')"
2,通辽市,"('Tongliao', 'Inner Mongolia')"
2,遂宁市,"('Suining', 'Sichuan')"
2,邵阳市,"('Shaoyang', 'Hunan')"
2,鄂尔多斯市,"('Ordos', 'Inner Mongolia')"
2,铁岭市,"('Tieling', 'Liaoning')"
2,铜陵市,"('Tongling', 'Anhui')"
2,长治市,"('Changzhi', 'Shanxi')"
2,阿坝藏族羌族自治州,"('Aba', 'Sichuan')"
2,陇南市,"('Longnan', 'Gansu')"
2,鞍山市,"('Anshan', 'Liaoning')"
2,韶关市,"('Shaoguan', 'Guangdong')"
2,驻马店市,"('Zhumadian', 'Henan')"
2,黄山市,"('Huangshan', 'Anhui')"
3,三亚市,"('Sanya', 'Hainan')"
3,乌鲁木齐市,"('Ürümqi', 'Xinjiang')"
3,十堰市,"('Shiyan', 'Hubei')"
3,周口市,"('Zhoukou', 'Henan')"
3,唐山市,"('Tangshan', 'Hebei')"
3,庆阳市,"('Qingyang', 'Gansu')"
3,张家口市,"('Zhangjiakou', 'Hebei')"
3,朔州市,"('Shuozhou', 'Shanxi')"
3,梧州市,"('Wuzhou', 'Guangxi')"
3,济宁市,"('Jining', 'Shandong')"
3,淄博市,"('Zibo', 'Shandong')"
3,潍坊市,"('Weifang', 'Shandong')"
3,舟山市,"('Zhoushan', 'Zhejiang')"
3,菏泽市,"('Heze', 'Shandong')"
3,萍乡市,"('Pingxiang', 'Jiangxi')"
3,营口市,"('Yingkou', 'Liaoning')"
3,赣州市,"('Ganzhou', 'Jiangxi')"
3,达州市,"('Dazhou', 'Sichuan')"
3,连云港市,"('Lianyungang', 'Jiangsu')"
3,邢台市,"('Xingtai', 'Hebei')"
3,郴州市,"('Chenzhou', 'Hunan')"
3,铜仁市,"('Tongren', 'Guizhou')"
3,阜新市,"('Fuxin', 'Liaoning')"
3,马鞍山市,"(""Ma'anshan"", 'Anhui')"
3,黔东南苗族侗族自治州,"('Qiandongnan', 'Guizhou')"
3,黔南布依族苗族自治州,"('Qiannan', 'Guizhou')"
4,上饶市,"('Shangrao', 'Jiangxi')"
4,南平市,"('Nanping', 'Fujian')"
4,南阳市,"('Nanyang', 'Henan')"
4,大庆市,"('Daqing', 'Heilongjiang')"
4,娄底市,"('Loudi', 'Hunan')"
4,宝鸡市,"('Baoji', 'Shaanxi')"
4,广安市,"(""Guang'an"", 'Sichuan')"
4,徐州市,"('Xuzhou', 'Jiangsu')"
4,德州市,"('Dezhou', 'Shandong')"
4,梅州市,"('Meizhou', 'Guangdong')"
4,汕尾市,"('Shanwei', 'Guangdong')"
4,河池市,"('Hechi', 'Guangxi')"
4,泰州市,"('Taizhou', 'Jiangsu')"
4,清远市,"('Qingyuan', 'Guangdong')"
4,渭南市,"('Weinan', 'Shaanxi')"
4,滁州市,"('Chuzhou', 'Anhui')"
4,焦作市,"('Jiaozuo', 'Henan')"
4,益阳市,"('Yiyang', 'Hunan')"
4,眉山市,"('Meishan', 'Sichuan')"
4,莆田市,"('Putian', 'Fujian')"
4,衡水市,"('Hengshui', 'Hebei')"
4,衢州市,"('Quzhou', 'Zhejiang')"
4,许昌市,"('Xuchang', 'Henan')"
4,遵义市,"('Zunyi', 'Guizhou')"
4,钦州市,"('Qinzhou', 'Guangxi')"
4,银川市,"('Yinchuan', 'Ningxia')"
4,齐齐哈尔市,"('Qiqihar', 'Heilongjiang')"
4,龙岩市,"('Longyan', 'Fujian')"
5,中山市,"('Zhongshan', 'Guangdong')"
5,九江市,"('Jiujiang', 'Jiangxi')"
5,信阳市,"('Xinyang', 'Henan')"
5,南充市,"('Nanchong', 'Sichuan')"
5,呼和浩特市,"('Hohhot', 'Inner Mongolia')"
5,大理白族自治州,"('Dali', 'Yunnan')"
5,宁德市,"('Ningde', 'Fujian')"
5,宜宾市,"('Yibin', 'Sichuan')"
5,宿迁市,"('Suqian', 'Jiangsu')"
5,无锡市,"('Wuxi', 'Jiangsu')"
5,曲靖市,"('Qujing', 'Yunnan')"
5,永州市,"('Yongzhou', 'Hunan')"
5,汕头市,"('Shantou', 'Guangdong')"
5,江门市,"('Jiangmen', 'Guangdong')"
5,洛阳市,"('Luoyang', 'Henan')"
5,淮南市,"('Huainan', 'Anhui')"
5,百色市,"('Baise', 'Guangxi')"
5,绍兴市,"('Shaoxing', 'Zhejiang')"
5,茂名市,"('Maoming', 'Guangdong')"
5,黄冈市,"('Huanggang', 'Hubei')"
6,临沂市,"('Linyi', 'Shandong')"
6,乐山市,"('Leshan', 'Sichuan')"
6,保定市,"('Baoding', 'Hebei')"
6,嘉兴市,"('Jiaxing', 'Zhejiang')"
6,太原市,"('Taiyuan', 'Shanxi')"
6,岳阳市,"('Yueyang', 'Hunan')"
6,巴中市,"('Bazhong', 'Sichuan')"
6,平顶山市,"('Pingdingshan', 'Henan')"
6,昆明市,"('Kunming', 'Yunnan')"
6,葫芦岛市,"('Huludao', 'Liaoning')"
6,蚌埠市,"('Bengbu', 'Anhui')"
6,赤峰市,"('Chifeng', 'Inner Mongolia')"
6,运城市,"('Yuncheng', 'Shanxi')"
6,邯郸市,"('Handan', 'Hebei')"
6,镇江市,"('Zhenjiang', 'Jiangsu')"
6,黄石市,"('Huangshi', 'Hubei')"
7,天津市,"('Tianjin', 'Tianjin')"
7,宿州市,"('Suzhou', 'Anhui')"
7,德阳市,"('Deyang', 'Sichuan')"
7,昭通市,"('Zhaotong', 'Yunnan')"
7,汉中市,"('Hanzhong', 'Shaanxi')"
7,盐城市,"('Yancheng', 'Jiangsu')"
7,襄阳市,"('Xiangyang', 'Hubei')"
7,资阳市,"('Ziyang', 'Sichuan')"
7,金华市,"('Jinhua', 'Zhejiang')"
7,长春市,"('Changchun', 'Jilin')"
8,兰州市,"('Lanzhou', 'Gansu')"
8,安阳市,"('Anyang', 'Henan')"
8,宣城市,"('Xuancheng', 'Anhui')"
8,榆林市,"('Yulin', 'Shaanxi')"
8,泸州市,"('Luzhou', 'Sichuan')"
8,石家庄市,"('Shijiazhuang', 'Hebei')"
8,自贡市,"('Zigong', 'Sichuan')"
8,阜阳市,"('Fuyang', 'Anhui')"
9,亳州市,"('Bozhou', 'Anhui')"
9,六安市,"(""Lu'an"", 'Anhui')"
9,台州市,"('Taizhou', 'Zhejiang')"
9,漳州市,"('Zhangzhou', 'Fujian')"
9,玉林市,"('Yulin', 'Guangxi')"
9,绵阳市,"('Mianyang', 'Sichuan')"
10,南通市,"('Nantong', 'Jiangsu')"
10,咸阳市,"('Xianyang', 'Shaanxi')"
10,柳州市,"('Liuzhou', 'Guangxi')"
10,桂林市,"('Guilin', 'Guangxi')"
10,淮安市,"(""Huai'an"", 'Jiangsu')"
10,贵阳市,"('Guiyang', 'Guizhou')"
10,郑州市,"('Zhengzhou', 'Henan')"
10,长沙市,"('Changsha', 'Hunan')"
13,东莞市,"('Dongguan', 'Guangdong')"
13,扬州市,"('Yangzhou', 'Jiangsu')"
13,青岛市,"('Qingdao', 'Shandong')"
14,宁波市,"('Ningbo', 'Zhejiang')"
14,衡阳市,"('Hengyang', 'Hunan')"
15,哈尔滨市,"('Harbin', 'Heilongjiang')"
15,常州市,"('Changzhou', 'Jiangsu')"
16,南昌市,"('Nanchang', 'Jiangxi')"
