,number of cases,Population at Year-end (10000 persons),Natural growth rate (‰),Average annual salary per urban employee ( Yuan),Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GDP,Number of theaters,Collections of public libraries (100 people),Percentage_employee,Province,City
0,0,608.0079999999999,9.54,62658.793333333335,257.24666666666667,36500.6,44.026666666666664,41.67,23.0,30.53,0.11122024710201182,Yunnan,Lincang
1,0,262.8017142857143,3.6885714285714277,61967.69571428572,53.70928571428571,90488.03571428571,44.19178571428571,44.6075,14.142857142857142,72.27857142857144,0.12171393750421285,Inner Mongolia,Wuhai
2,1,81.66199999999999,-2.048,48290.96,137.615,27462.0,38.465,47.11,3.0,27.7,0.12354950895153194,Heilongjiang,Qitaihe
3,1,286.42400000000004,13.562,65480.386,123.67,74308.75,51.5675,34.3675,20.0,169.86,0.08519914532301762,Fujian,Sanming
4,1,718.8796000000001,7.924266666666667,49751.920933333335,760.757,43912.7884,48.81266666666667,38.58083333333333,10.266666666666667,25.26033333333333,0.09419399669522778,Henan,Sanmenxia
5,1,192.944,9.894,73561.942,230.55,172369.6,63.90500000000001,32.6375,20.0,113.15,0.21997107969151675,Shandong,Dongying
6,1,343.2697777777778,5.015777777777777,56835.102222222224,261.54166666666674,40623.46666666667,46.951388888888886,46.380833333333335,13.88888888888889,49.13444444444444,0.1253752862989524,Shanxi,Linfen
7,1,262.8017142857143,3.6885714285714277,61967.69571428572,53.70928571428571,90488.03571428571,44.191785714285714,44.6075,14.142857142857142,72.27857142857144,0.12171393750421283,Inner Mongolia,Ulanqab
8,1,118.238,-5.254,36261.094,37.04,21657.6,20.8725,37.96,8.0,70.405,0.14521659703310272,Heilongjiang,Yichun
9,1,108.04450000000001,11.72311111111111,65996.60266666667,435.45166666666665,50681.88888888888,17.35611111111111,62.405555555555544,6.0,57.50000000000001,0.2965061309614711,Hainan,Danzhou
10,1,338.54,13.012,67427.276,333.54,45073.2,51.095,39.89,7.0,13.845,0.07075648372422756,Guizhou,Liupanshui
11,1,418.686,0.8000000000000002,47901.14599999999,785.405,34235.4,55.445,28.8025,9.0,13.32,0.06983381340670576,Sichuan,Neijiang
12,1,485.60070588235294,1.633323529411765,59817.757647058825,519.3082352941177,40148.57647058824,52.17161764705883,33.918676470588224,10.117647058823529,36.18176470588235,0.12051124065620607,Sichuan,Liangshan
13,1,223.912,2.146,64952.38200000001,80.61500000000002,125332.25,46.4675,50.775,17.0,99.08,0.1702341098288613,Inner Mongolia,Baotou
14,1,173.65200000000002,13.886,56024.046,511.385,63478.0,50.725,31.902500000000003,7.0,37.43,0.08243417870223205,Guangxi,Beihai
15,1,420.98800000000006,-2.184,54901.29,154.02499999999995,55723.5,42.48,48.17,4.0,52.435,0.09200110216918295,Jilin,Jilin
