location_CN,location_ENG,number of cases
扬州市,"('Yangzhou', 'Jiangsu')",13
连云港市,"('Lianyungang', 'Jiangsu')",3
苏州市,"('Suzhou', 'Jiangsu')",28
淮安市,"(""Huai'an"", 'Jiangsu')",10
南京市,"('Nanjing', 'Jiangsu')",47
南通市,"('Nantong', 'Jiangsu')",9
常州市,"('Changzhou', 'Jiangsu')",17
徐州市,"('Xuzhou', 'Jiangsu')",4
盐城市,"('Yancheng', 'Jiangsu')",8
泰州市,"('Taizhou', 'Jiangsu')",4
石家庄市,"('Shijiazhuang', 'Hebei')",7
保定市,"('Baoding', 'Hebei')",4
唐山市,"('Tangshan', 'Hebei')",3
张家口市,"('Zhangjiakou', 'Hebei')",3
廊坊市,"('Langfang', 'Hebei')",4
沧州市,"('Cangzhou', 'Hebei')",2
邢台市,"('Xingtai', 'Hebei')",3
邯郸市,"('Handan', 'Hebei')",8
北京市,"('Beijing', 'Beijing')",80
黄石市,"('Huangshi', 'Hubei')",6
恩施土家族苗族自治州,"('Enshi', 'Hubei')",1
襄阳市,"('Xiangyang', 'Hubei')",7
荆州市,"('Jingzhou', 'Hubei')",1
孝感市,"('Xiaogan', 'Hubei')",2
黄冈市,"('Huanggang', 'Hubei')",5
武汉市,"('Wuhan', 'Hubei')",25
郴州市,"('Chenzhou', 'Hunan')",11
娄底市,"('Loudi', 'Hunan')",4
永州市,"('Yongzhou', 'Hunan')",5
常德市,"('Changde', 'Hunan')",2
长沙市,"('Changsha', 'Hunan')",7
衡阳市,"('Hengyang', 'Hunan')",17
焦作市,"('Jiaozuo', 'Henan')",4
周口市,"('Zhoukou', 'Henan')",3
新乡市,"('Xinxiang', 'Henan')",8
南阳市,"('Nanyang', 'Henan')",4
安阳市,"('Anyang', 'Henan')",8
信阳市,"('Xinyang', 'Henan')",5
平顶山市,"('Pingdingshan', 'Henan')",6
昆明市,"('Kunming', 'Yunnan')",6
大理白族自治州,"('Dali', 'Yunnan')",4
普洱市,"(""Pu'er"", 'Yunnan')",1
怒江傈僳族自治州,"('Nujiang', 'Yunnan')",1
重庆市,"('Chongqing', 'Chongqing')",29
自贡市,"('Zigong', 'Sichuan')",8
巴中市,"('Bazhong', 'Sichuan')",8
泸州市,"('Luzhou', 'Sichuan')",8
遂宁市,"('Suining', 'Sichuan')",2
宜宾市,"('Yibin', 'Sichuan')",8
南充市,"('Nanchong', 'Sichuan')",5
乐山市,"('Leshan', 'Sichuan')",10
阿坝藏族羌族自治州,"('Aba', 'Sichuan')",7
广元市,"('Guangyuan', 'Sichuan')",1
资阳市,"('Ziyang', 'Sichuan')",14
成都市,"('Chengdu', 'Sichuan')",21
德阳市,"('Deyang', 'Sichuan')",7
攀枝花市,"('Panzhihua', 'Sichuan')",10
上海市,"('Shanghai', 'Shanghai')",23
