,城市,City,Household Registered Population at Year-end (10 000 persons),Annual Average Population (10 000 persons),Number of Households at Year-end (10 000 households),Birth Population (person),Death Population (person),Natural Growth Rate(%),Total Land Area of Administrative region （sq.km）,Total Water Resources （10 000 cu.m）,Area of Land Used for Urban Construction (sq.km),Area of Land Used for Living,Land Used for Urban Construction as Percentage to Urban Area (%),Area of Green Land (hectare),Area of Parks Green Land,Green Covered Area as % of Built-up Area (%),Volume of Industrial Waste Water Discharged (10 000 tons),Volume of Industrial Sulphur Dioxide Emission (ton),Volume of Industrial Nitrogen Dioxide Emission (ton),Volume of Industrial  Soot(dust) Emission (ton),Ratio of Industrial Solid Wastes Comprehensively Utilized (%),Annual Mean Concentration ofPM2.5 (ug/m3),Ratio of waste Water Centralized Treated of Sewage Work (%),Ratio of Consumption Wastes Treated (%),Gross Regional Product (Current Prices) (100 000 yuan),Per Capita GRP (yuan),GRP Growth Rate (%),Primary Industry as Percentage to GRP,Secondary Industry as Percentage to GRP,Tertiary Industry as Percentage to GRP,Local General public budget revenue,Local General public budget Expenditure,Expenditure for Science and Technology,Expenditure for Education,Local General public budget revenue.1,Local General public budget Expenditure.1,Expenditure for Science and Technology.1,Expenditure for Education.1,Deposits of National Banking System at Year-end,Household Saving Deposits at Year-end,Loans of National Banking System at Year-end,Investment in Real Estate Development,Residential Buildings,Sales Area of Commercial Residential Building,Residential Buildings.1,Area for Sale,Import Volumeof goods (10 OOOyuan),Number of Projects for Contracted Foreign Direct Investment (unit),Amount of Foreign Capital Actually Utilized (USD 10000),Number of Industrial Enterprises,Domestic Funded,"Enterprises with Funds from Hong Kong, Macao and Taiwan",Foreign Funded Enterprises,Total Current Assets,Total Fixed Assets,Tax and Extra Charges from Principal Business,Value-added Tax Payable,Total Profits,Total Retail Sales of Consumer Goods (10 000 yuan),Number of Enterprises above Designated Size of Wholesale and Retail Trades (Number of Legal Entities) (unit),Total Sales of Commodities of Enterprises above Designated Size in Wholesale and Retail Trades (10 000 yuan),R&D Personnel (Person),R&D Internal Outlay (10 000 yuan),Number of Patent Applications (piece),Number of Patent Authorizations (piece),Invention (piece),Persons Employed in Urban Units at Ycar-end,Persons Employed in Private Enterprises and Self-Employed Individuals in Urban Areas,Registered Unemployed Persons in Urban Areas,Primary Industry,Secondary Industry,Tertiary Industry,Primary Industry.1,Secondary Industry.1,Tertiary Industry.1,Primary Industry.2,Secondary Industry: Mining,Unnamed: 87,Manufacturing,"Production and Distribution of Electricity, Gas and Water",Construction,Wholesale and Retail Trades,"Traffic,Transport, Storage and Post",Hotels and Catering Services,"Information Transmission, Computer Services and Software",Financial Intermediation,Unnamed: 103,Real Estate,Leasing and Business Services,Scientific Research and Technical Service,"Management of Water Conservancy, Environment",Services to Households and Other Services,Education,Health and Social Work,"Culture, Sports and Entertainment","Public Management, Social Security and Social Organization",Average Number of Employed Staff and Workers (10 000 persons),Total Wage Bill of Employed Staff and Workers (10 000 yuan),Average Wage of Employed Staff and Workers (yuan),Regular Institutions of Higher Education,Vocational Secondary Schools,Regular Secondary Schools,Regular Primary Schools,Regular Institutions of Higher Education.1,Vocational Secondary Schools.1,Regular Secondary Schools.1,Regular Primary Schools.1,Undergraduate in Regular HEIs,Vocational Secondary Schools.2,Regular Secondary Schools.2,Regular Primary Schools.2,Collections of Public Libraries (10 000 copies),Number of Museums (unit),Number of Stadiums and Gymnasiums (unit),Number of Hospitals (unit),Number of Beds of Hospitals (bed),Number of Licensed (Assistant) Doctors (person),Number of Employees Joining Urban Basic Pension Insurance,Number of Employees Joining Urban Basic Medical Care System,Persons Covered of Unemployment Insurance,Investment in Municipal Public Infrastructure Construction （10 000 yuan）,Area of City Paved Roads at Year-end （10 000 sq.m）,Length of City Sewage Pipes （km）,Number of Buses and Trolley Buses under Operation at Year-end （unit）,Total Annual Volume of Passengers Transported by Buses and Trolley Buses （10 000 person-times）,Number of Taxis under Operation at Year-end （unit）,Highway Passenger Traffic,Waterway Passenger Traffic,Civil Aviation Passenger Traffic,"Highway Freight Traffic
(10 000 tons)","Waterway Freight Traffic
(10 000 tons)",Civil Aviation Freight Traffic (ton),Revenue from Postal Services (10 000 yuan),Revenue from Telecommunication Services (10 000 yuan),Number of Subscribers of Mobile Telephones at Year-end (10 000 households),Number of Subscribers of Internet Services (10 000 households),Annual Electricity Consumption (10 000 kwh),Electricity Consumption fbr Industrial,Household Electricity Consumption for Urban and Rural Residential,"Total Gas Supply (Coal Gas,Natural Gas) (10 000 cubic meters)",Consumption of Gas for Residential Use,Liquefied Petroleum Gas Supply (ton),Consumption of Liquefied Petroleum Gas fbr Residential Use
0,长春市,Changchun,751,,282,56284,35561,2.76,20594,343000,523.0,151.0,7.48,23928.0,6318.0,41.58,2653.0,15234.0,35409.0,15953.0,83.44,,93.05,96.76,71757117,95663,7.2,4.21,48.94,46.85,4780141.0,8943429.0,121743.0,1272697.0,4546731.0,6820978.0,120926.0,894933.0,114756661,49932387,114630491,7786345,5295343,1288,1116,694,9020601,41,27340,1632,1466,32,134,51068000,,2523800,2484600,6724600,30035719,1389,22988184,,,19900.0,10268.0,2416.0,1184062,1485549,69130,8312,499572,676178,0.7,42.19,57.11,8312,1125,1125,334134,56602,107711,66589,49202,13731,34599,56351,51550,40656,40045,43525,30263,10887,126907,64477,16951,81995,114,9145988,80425,40,94,342,1063,27488,3601,33353,25284,447156,44442,32,40,549,27,79,186,48228,24470,2412833,1615777,995212,1307528.0,7478.0,5682.0,4872.0,66855.0,18534.0,6115.0,25.0,653,12423.0,,65446.0,317327.0,741443.0,1040.0,197.0,2431044,1271096,283478,69986.0,19166.0,46594.0,6618.0
1,抚州市,Fuzhou,432,431,137,53277,19535,7.81,18799,1258900,96.0,32.0,2.83,4162.0,1340.0,46.76,1875.0,6373.0,4176.0,6794.0,100.0,37.0,95.07,100.0,13824038,34226,8,14.42,40.94,44.64,1290437.0,4036499.0,102978.0,682226.0,450659.0,1204608.0,40077.0,219308.0,20672674,13036929,16087785,1434602,1151593,468,421,40,102488,35,38504,817,783,23,11,4131648,6516311,129053,362629,930206,5441371,253,2245879,7276.0,139000,6911.0,4565.0,118.0,326475,594984,29334,1352,165428,159695,0.41,50.67,48.91,1352,872,606,44091,1552,118913,5511,8932,719,2300,9281,7352,6012,1064,1733,4703,379,50526,18677,1424,48434,30,1877633,62885,5,30,228,683,2058,688,15693,20762,32349,13472,26,35,151,11,35,49,11028,5854,523292,379818,215138,835287.0,1830.0,1270.0,683.0,9586.0,531.0,4351.0,,,14183.0,238.0,,62803.0,199377.0,289.0,81.0,850342,446964,99253,4975.0,1123.0,25136.0,25110.0
2,鹤岗市,Hegang,100,100,46,4859,6810,-1.96,14665,315400,53.0,19.0,1.16,2870.0,793.0,41.3,,,,,,,80.56,80.95,2895770,28891,4.7,30.03,32.53,37.44,252400.0,1156562.0,3576.0,147066.0,199856.0,750440.0,596.0,90270.0,6878512,5269583,4972351,72175,63783,12,11,17,70146,1,101,112,107,3,2,1406512,,36181,81623,149565,1465430,55,458983,26.0,476,325.0,172.0,11.0,163914,,14505,51942,54916,57056,31.69,33.5,34.81,51942,37634,37454,6588,5759,4935,4860,3168,622,1316,4023,3300,834,1070,686,4060,288,10484,10067,1175,14403,13,709164,53486,1,6,36,35,202,479,2924,2576,2360,3705,3,3,54,2,7,49,8455,3090,192957,230029,79810,71506.0,485.0,322.0,439.0,8817.0,2037.0,421.0,23.0,,1140.0,70.0,,18361.0,62974.0,121.0,29.0,446828,303608,31474,1248.0,714.0,4705.0,4238.0
3,昭通市,Zhaotong,625,622,188,104676,25849,12.61,22140,1328000,36.0,10.0,1.66,1202.0,408.0,32.5,2137.0,9748.0,8016.0,6833.0,61.47,21.0,87.37,76.56,8895404,15987,8.5,18.28,44.72,37,782079.0,4600158.0,9779.0,1159186.0,130930.0,623460.0,1617.0,162298.0,15603847,8605143,8052401,,,171,136,87,46,1,424,132,127,4,1,2908804,10735294,444863,418364,871316,2840935,134,2265154,185.0,2956,806.0,322.0,14.0,248527,220690,11917,797,51230,196500,0.32,20.61,79.07,797,11701,,12107,8482,18940,7450,4053,3209,1967,4557,2441,5635,4236,2852,3208,199,68699,22599,1460,66376,22,1850816,84707,2,30,246,1520,627,1481,24313,28191,14990,25741,41,53,93,4,8,167,21739,7422,304119,235486,134764,203948.0,503.0,285.0,1165.0,6735.0,581.0,1422.0,19.0,35,4694.0,280.0,479.0,35537.0,262134.0,392.0,61.0,831691,422149,83153,992.0,236.0,349.0,332.0
4,淮安市,Huai'an,561,561,167,50200,36900,2.37,10030,383280,266.0,81.0,5.94,8620.0,2284.0,42.0,3207.0,11222.0,13692.0,6904.0,98.2,45.0,82.3,100.0,36012500,73204,6.5,9.96,41.88,48.16,2472747.0,4867707.0,93497.0,798122.0,454674.0,739015.0,14030.0,92012.0,36380052,16052517,33034389,3120188,2266857,937,831,254,1081660,168,118213,1997,1818,97,82,13343300,9123307,1262648,1081591,2134000,12396580,930,8708583,,,17644.0,9050.0,429.0,471378,1065066,19181,2119,236784,232475,0.45,50.23,49.32,2119,2020,2020,143871,4507,86386,15740,20688,4422,5135,25992,23747,6470,8729,5422,5545,4877,48048,31449,3204,46754,42,3023343,71472,7,15,196,245,4133,2821,21193,22563,71834,55618,24,35,384,6,33,64,18597,13435,1004125,869870,668017,43856.0,3752.0,3360.0,1860.0,31815.0,1373.0,5995.0,17.0,152,6671.0,7251.0,6286.0,217948.0,351865.0,459.0,152.0,1865883,1159667,170522,21366.0,9058.0,26669.0,17210.0
5,梧州市,Wuzhou,352,350,100,57482,18133,11.18,12571,1244000,60.0,20.0,3.35,3474.0,642.0,43.61,2280.0,3224.0,5733.0,4055.0,70.36,37.0,67.19,97.1,10298470,33774,1.81,13.91,40.47,45.62,799575.0,2618176.0,21149.0,474705.0,552634.0,1285853.0,15352.0,143699.0,12182105,8011148,8692904,762866,640113,247,232,102,31281,9,1207,410,368,28,14,3252719,,81583,463570,918034,4847190,255,1806112,2004.0,28405,1999.0,977.0,155.0,175533,328023,9512,662,52657,122214,0.38,30,69.62,662,1332,,40826,5378,5121,4931,5808,820,1691,7855,5533,2931,1613,2436,2217,159,36227,21226,1297,33003,16,1022422,65438,2,12,135,519,693,996,13097,16602,15936,45197,20,30,113,1,6,44,11154,6322,440694,318514,151565,41397.0,712.0,479.0,561.0,6452.0,761.0,1537.0,,,5972.0,3001.0,,27208.0,149135.0,286.0,65.0,754021,487144,87958,8118.0,1244.0,9006.0,8621.0
6,四平市,Siping,319,320,125,17884,13721,1.3,14382,162100,61.0,22.0,3.7,2082.0,547.0,36.59,1402.0,10015.0,16526.0,9545.0,37.8,,85.91,86.91,9443242,29556,4.63,21.66,27.89,50.45,428151.0,2904321.0,5216.0,372201.0,203310.0,674802.0,3827.0,85336.0,14263499,10752973,9492838,526086,401291,69,64,50,32990,1,1417,598,580,13,5,2892397,,171247,110065,93557,5853651,217,1896983,1011.0,22108,1287.0,652.0,49.0,163389,274160,8735,3618,28153,131618,2.21,17.23,80.55,3618,696,696,16997,5532,4928,5347,6157,716,3082,7393,3421,2351,699,3914,6542,577,37149,23472,2265,31954,16,972073,61008,4,25,186,828,2461,1295,12193,13090,38092,15358,15,16,68,6,16,78,15932,7564,759644,563108,238906,67855.0,701.0,289.0,376.0,5025.0,2976.0,2858.0,1.0,,9139.0,,,56295.0,164178.0,321.0,59.0,649565,352736,63955,5616.0,2778.0,890.0,760.0
7,三门峡市,Sanmenxia,227,228,73,26742,10339,7.22,10496,110837,49.0,13.0,2.54,1986.0,608.0,39.85,1389.0,7256.0,9175.0,5441.0,37.1,57.0,97,97.1,15281244,67294,8,7.79,55.06,37.14,1202017.0,2439183.0,37625.0,429933.0,512646.0,990604.0,15815.0,178004.0,12766275,8484858,8083543,,,267,252,61,849170,5,111438,418,407,3,8,10878811,6669533,,,2253178,5337448,293,2970231,5919.0,166112,1038.0,690.0,64.0,213497,276333,8829,363,100697,112437,0.17,47.17,52.66,363,43953,1320,30848,5407,20489,5497,5769,2661,2800,12605,10895,2678,1368,2607,2069,655,26114,15798,1614,30202,20,1320636,64578,2,19,128,239,977,1103,10741,10176,17540,13757,11,16,158,7,8,51,12168,5715,441188,381934,246939,,652.0,291.0,297.0,5934.0,798.0,2279.0,30.0,,6948.0,,,46825.0,138629.0,224.0,61.0,1193219,874388,68587,12789.0,974.0,3660.0,3347.0
8,江门市,Jiangmen,399,398,120,56523,28485,7.03,9507,1596000,158.0,49.0,8.85,13196.0,2479.0,44.91,,,,,,31.0,94.65,100.0,29004073,63328,7.8,6.95,48.55,44.5,2440479.0,3778763.0,132816.0,796835.0,1470789.0,2044206.0,51716.0,432923.0,44011976,24758832,30842527,5750988,4610545,684,605,254,3501560,467,73429,2300,1637,491,172,21012788,,244795,1409073,4047801,14075780,889,12051915,,,19748.0,12273.0,712.0,643244,1133522,63083,1000,353826,288418,0.16,55.01,44.84,1000,85,60,285722,4980,63039,34520,16992,10016,5951,37780,25806,17586,18964,6060,7744,2471,46163,30749,2158,51264,59,4177211,71371,4,20,194,324,2171,2632,16962,15802,42120,45922,21,34,374,6,25,48,17079,10298,1678236,1378735,865596,,2710.0,1560.0,1105.0,8811.0,223.0,,,,,43.0,,58060.0,488400.0,607.0,172.0,2817757,1969073,217463,26983.0,1986.0,64920.0,31499.0
9,伊春市,Yichun,114,115,56,4413,9736,-4.67,32800,1075600,152.0,66.0,0.78,4665.0,1845.0,31.8,,,,,,,91.94,68.69,2741523,23837,6,37.85,21.64,40.51,178857.0,1566785.0,1856.0,72629.0,139726.0,1136135.0,1349.0,37883.0,7141539,4941571,1802087,111353,87532,15,15,20,8166,I,587,64,60,,4,1239548,,30352,57682,154988,1416532,24,260775,,,421.0,166.0,7.0,166023,107381,18796,92619,18775,54629,55.79,11.31,32.9,92619,424,141,9764,3953,4634,1572,3693,661,2400,3372,3331,1257,11 13,1542,2624,138,12201,7395,1163,15498,15,630141,42938,1,8,48,48,205,454,3861,3184,3588,2979,3,3,105,10,19,39,6463,2681,307711,335484,126425,,978.0,606.0,389.0,3736.0,4739.0,598.0,,16,590.0,,40.0,14470.0,123187.0,104.0,29.0,334492,232649,43461,19.0,13.0,14606.0,11824.0
